xml:id,Titre de l'oeuvre,Wikidata,Artiste (xml:id),Auteur modèle,Type d'oeuvre,Ref bibliographie,Page bibliographie,Note,Niveau de certitude,Institution de conservation,Lieu de conservation d'après le texte,N° d'inventaire,Lien image,Technique,Datation,Datation début,Datation fin,Lien vers d'autres répertoires,Colonne 1,Colonne 2,Colonne 3,Colonne 4,Colonne 5,Colonne 6,Colonne 7,Colonne 8,Colonne 9,Colonne 10,Colonne 11
RaphaelSainteCecile,"L'Extase de sainte Cécile",https://www.wikidata.org/wiki/Q1103801,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2005,n° 55,,,,,,,,,,,,,,,,,,,,,,
RaphaelEzechiel,La Vision d'Ézéchiel,https://www.wikidata.org/wiki/Q1134281,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2005,n° 60,,,,,,,,,,,,,,,,,,,,,,
RaphaelLaPerla,La Sainte Famille dite La Perla,https://www.wikidata.org/wiki/Q427390,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2005,n° 64,,,,,,,,,,,,,,,,,,,,,,
RaphaelBindoAltoviti,"Portrait de Bindo Altoviti",https://www.wikidata.org/wiki/Q2528106,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2008,n° 72,,,,,,,,,,,,,,,,,,,,,,
RaphaelViergeImpannata,Vierge de l'Impannata,https://www.wikidata.org/wiki/Q2052275,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2005,n° 58,,,,,,,,,,,,,,,,,,,,,,
RaphaelLeonX,"Portrait du pape Léon X",https://www.wikidata.org/wiki/Q2610729,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2008,n° 81,,,,,,,,,,,,,,,,,,,,,,
RaphaelLorenzoMedici,Portrait de Lorenzo de' Medici,https://www.wikidata.org/wiki/Q3399434,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2008,n° 80,,,,,,,,,,,,,,,,,,,,,,
RaphaelJGiulianoMedici,Portrait de Giuliano de' Medici,/,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2008,n° A22,,,,,,https://www.metmuseum.org/fr/art/collection/search/437373,,,,,,,,,,,,,,,,
PalaisCapriniRome,Palais Caprini,https://www.wikidata.org/wiki/Q2047517,,,Architecture,,,,,,,,,,,,,,,,,,,,,,,,
RaphaelEtudeOstie,Etude de deux hommes nus pour la bataille d'Ostie (Stanza dell'Incendio di Borgo),/,Raphael,,Peinture,,,,,Vienne,Albertina,17575,https://sammlungenonline.albertina.at/en/objects/26262/zwei-mannerakte-mit-kopfstudie-studie-fur-die-schlacht-von,,,,,,,,,,,,,,,,
RaimondiLucrece,Lucrèce,/,,,Estampe,,"vol. 26, n° 18 (19)",,,,,,https://gallica.bnf.fr/ark:/12148/btv1b6953379k.item,,,,,,,,,,,,,,,,
RaimondiMassacreInnocents,Massacre des Innocents,/,,,Estampe,I.B.,"vol. 26, n° 18 (19)",,,,,,https://gallica.bnf.fr/ark:/12148/btv1b69532033.item,,,,,,,,,,,,,,,,
RaimondiCene,La Cène,/,,,Estampe,,"vol. 26, n° 26 (33)",,,,,,https://gallica.bnf.fr/ark:/12148/btv1b6953214w.item,,,,,,,,,,,,,,,,
RaimondiNeptune,Neptune,/,,,Estampe,,vol. 27 n° 352 (264),,,,,,https://www.metmuseum.org/art/collection/search/342757,,,,,,,,,,,,,,,,
RaphaelVelata,La Velata,https://www.wikidata.org/wiki/Q948034,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2008,n° 73,,,,,,,,,,,,,,,,,,,,,,
RaphaelPortementCroix,Portement de Croix,https://www.wikidata.org/wiki/Q2664637,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2005,n° 59,,,,,,,,,,,,,,,,,,,,,,
RaphaelChambreIncendieBorgo,Chambre de l'Incendie de Borgo,https://www.wikidata.org/wiki/Q3968260,Raphael,,Peinture,,,,,,,,,,,,,,,,,,,,,,,,
RaphaelIncendieBorgo,Incendie de Borgo,https://www.wikidata.org/wiki/Q2531790,Raphael,,Peinture,dusslerRaphaelCriticalCatalogue1971,p. 82,,,,,,,,,,,,,,,,,,,,,,
RaphaelBatailleOstie,Bataille d'Ostie,https://www.wikidata.org/wiki/Q2564496,Raphael,,Peinture,dusslerRaphaelCriticalCatalogue1971,p. 83,,,,,,,,,,,,,,,,,,,,,,
RaphaelCouronnementCharlemagne,Couronnement de Charlemagne,https://www.wikidata.org/wiki/Q1450935,Raphael,,Peinture,dusslerRaphaelCriticalCatalogue1971,p. 84,,,,,,,,,,,,,,,,,,,,,,
RaphaelSermentLeonIII,Serment de Léon III,https://www.wikidata.org/wiki/Q1619548,Raphael,,Peinture,dusslerRaphaelCriticalCatalogue1971,p. 85,,,,,,,,,,,,,,,,,,,,,,
SallePalfreniersVatican,Salle des Palefreniers,https://www.wikidata.org/wiki/Q3945241,,,Peinture,,,,,,,,,,,,,,,,,,,,,,,,
LogesVatican,Loges vaticanes,https://www.wikidata.org/wiki/Q3836415,,,Peinture,,,,,,,,,,,,,,,,,,,,,,,,
VillaMadamaRome,Villa Madame,https://www.wikidata.org/wiki/Q1267485 ,,,Architecture,,,,,,,,,,,,,,,,,,,,,,,,
PalazzoBranconioAquilaRome,Palazzo Branconio dell'Aquila,https://www.wikidata.org/wiki/Q1267485 ,,,Architecture,,,,,,,,,,,,,,,,,,,,,,,,
PalazzoPandolfiniFlorence,Palazzo Pandolfini,https://www.wikidata.org/wiki/Q1228234,,,Architecture,,,,,,,,,,,,,,,,,,,,,,,,
RaphaelMadonneSixtine,Madonne Sixtine,https://www.wikidata.org/wiki/Q328079,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2005,n° 53,,,,,,,,,,,,,,,,,,,,,,
RaphaelSaintMichel,Saint Michel,https://www.wikidata.org/wiki/Q594470,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2005,n° 61,,,,,,,,,,,,,,,,,,,,,,
VillaFarnesineRome,Villa Farnesine,https://www.wikidata.org/wiki/Q1126723,,,Architecture,,,,,,,,,,,,,,,,,,,,,,,,
SalleConstantinVatican,Salle de Constantin,https://www.wikidata.org/wiki/Q3945256,,,Peinture,dusslerRaphaelCriticalCatalogue1971,p. 86,,,,,,,,,,,,,,,,,,,,,,
RaphaelTapisseriesApotres,Tapisseries des actes des apotres,https://www.wikidata.org/wiki/Q76844726,Raphael,,Peinture,,,,,,,,,,,,,,,,,,,,,,,,
RaphaelSaintJeanBaptisteFlorence,Saint Jean-Baptiste,https://www.wikidata.org/wiki/Q3463871,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2005,n° A4,,,,,,,,,,,,,,,,,,,,,,
RaphaelTransfiguration,Transfiguration,https://www.wikidata.org/wiki/Q2344437,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2005,n° 66,,,,,,,,,,,,,,,,,,,,,,
SanPietroMontorioRome,Eglise San Pietro in Montorio,https://www.wikidata.org/wiki/Q1258576,,,Architecture,,,,,,,,,,,,,,,,,,,,,,,,
PantheonRome,Panthéon,https://www.wikidata.org/wiki/Q99309,,,Architecture,,,,,,,,,,,,,,,,,,,,,,,,
RaphaelSainteFamilleFrancoisIer,Sainte Famille de François Ier,https://www.wikidata.org/wiki/Q2467141,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2005,n° 62,,,,,,,,,,,,,,,,,,,,,,
RaphaelSainteMargueriteLouvre,Sainte Marguerite,https://www.wikidata.org/wiki/Q2310025,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2005,n° A10,,,,,,,,,,,,,,,,,,,,,,
RaphaelRomanoIsabelleRequesens,Portrait d'Isabelle de Requesens,https://www.wikidata.org/wiki/Q3399388,Raphael,,Peinture,meyerzurcapellenRaphaelCriticalCatalogue2008,n° 79,,,,,,,,,,,,,,,,,,,,,,
SaintPierreRome,,https://www.wikidata.org/wiki/Q12512,,,Architecture,,,,,,,,,,,,,,,,,,,,,,,,
MantegnaBacchanales,Bacchanales,https://www.wikidata.org/wiki/Q3632482,,,Estampe,lightbrownMantegnaCompleteCatalogue1986,n° 208-209,,,,,,,,,,,,,,,,,,,,,,
MantegnaTriomphes,,,,,Estampe,,,PROBLEME,,,,,,,,,,,,,,,,,,,,,
MantegnaCombatDieuxMarins,Combat des dieux marins,https://www.wikidata.org/wiki/Q4024963,,,Estampe,,,,,,,,,,,,,,,,,,,,,,,,
MantegnaDapDescenteCroix,Descente de croix,,,,Estampe,lightbrownMantegnaCompleteCatalogue1986,n° 214,,,,,,,,,,,,,,,,,,,,,,
MantegnaMiseAuTombeau,Laquelle ?,,,,Estampe,,,PROBLEME,,,,,,,,,,,,,,,,,,,,,
MantegnaChristAndreLongin,"Le Christ ressuscité entre saint André et Longin",https://www.wikidata.org/wiki/Q56305286,,,Estampe,lightbrownMantegnaCompleteCatalogue1986,n° 206,,,,,,,,,,,,,,,,,,,,,,
RaimondiJugementParis,Le Jugement de Paris,/,,,Estampe,I.B. 26,n° 245-I (197),Seulement un lien wikidata pour la fresque perdue,,,,,,,,,,,,,,,,,,,,,
RaimondiEnlevementHelene,L'enlèvement d'Hélène,/,,,Estampe,,,,,,,,https://gallica.bnf.fr/ark:/12148/btv1b10464978w,,,,,,,,,,,,,,,,
RaimondiMartyreCecile,Martyre de Sainte Cecile,,,,Estampe,I.B. 26,n° 117 (104),Ill. B. sainte félicité,,,,,https://gallica.bnf.fr/ark:/12148/btv1b69532745,,,,,,,,,,,,,,,,
RaimondiVenusAmourNiche,Vénus et l'amour dans une niche,,,,Estampe,,,,,,,,https://gallica.bnf.fr/ark:/12148/btv1b69533006.item,,,,,,,,,,,,,,,,
RaimondiNoe,Dieu apparaissant à Noé,,,,Estampe,I.B. 26,n° 3 (4),"Noé dans bartsch, abraham selon d'autres",,,,,https://www.metmuseum.org/art/collection/search/342524,,,,,,,,,,,,,,,,
RaimondiParnasse,Parnasse,,,,Estampe,I.B. 26,n° 247 (200),,,,,,,,,,,,,,,,,,,,,,
RaimondiGalatee,Galatée,,,,Estampe,,,,,,,,,,,,,,,,,,,,,,,,
RaimondiAllegoriePaix,Allégorie de la Paix,,,,Estampe,,,,,,,,https://www.metmuseum.org/art/collection/search/342647,,,,,,,,,,,,,,,,
RaimondiVertus,Vertus théologales et cardinales,,,,Estampe,,,,,,,,https://www.rct.uk/collection/851946,,,,,,,,,,,,,,,,
RaimondiChristApotres,,,,,Estampe,I.B. 26,N° 52 (58) ou N° 53 (60),,,,,,https://www.rct.uk/collection/852888/christ-eleven-apostles-and-st-paul-christ-and-twelve-apostles,,,,,,,,,,,,,,,,
RaimondiViergeFoligno,,,,,Estampe,,,,,,,,https://www.britishmuseum.org/collection/object/P_H-1-46,,,,,,,,,,,,,,,,
RaimondiRavennaMadonnaPesce,,,,,Estampe,I.B. 26,N° 54 (61),Raimondi ou Ravenna,,,,,https://www.britishmuseum.org/collection/object/P_1862-1213-43,,,,,,,,,,,,,,,,
RaimondiJeanBaptisteAssisDesert,,,,,Estampe,,,PROBLEME ou https://sammlungenonline.albertina.at/en/objects/124959,,,,,https://www.boijmans.nl/collectie/kunstwerken/63420/johannes-de-doper-in-de-woestijn,,,,,,,,,,,,,,,,
RaimondiSainteCecile,,,,,Estampe,,,,,,,,https://collections.louvre.fr/ark:/53355/cl020519229,,,,,,,,,,,,,,,,
RaimondiPredicationSaintPaul,Predication de saint Paul,https://www.wikidata.org/wiki/Q125732373,,,Estampe,I.B. 26,N° 44 (50),,,,,,,,,,,,,,,,,,,,,,
VenezianoElymas,,,,,Estampe,I.B. 26,N° 43 (48),,,,,,,,,,,,,,,,,,,,,,
RaimondiDescenteCroix,,,,,Estampe,I.B. 26,N° 32 (37),,,,,,,,,,,,,,,,,,,,,,
RaimondiPortementCroix,,,,,Estampe,I.B. 26,N° 28-I (34),,,,,,,,,,,,,,,,,,,,,,
GraveurAnonymeEneeAnchise,Enee et Anchise,,,,Estampe,I.B. 26,N° 186 (152),L'embrasement de Troie manque,,,,,,,,,,,,,,,,,,,,,
RaimondiChristPaulCatherine,"Le Christ, la Vierge et saint Jean avec saint Paul et sainte Catherine",,,,Estampe,I.B. 26,n° 113 (100),,,,,,,,,,,,,,,,,,,,,,
RaimondiClementVII,Portrait de Clement VII,,,,Estampe,,,,,,,,https://gallica.bnf.fr/ark:/12148/btv1b69534365.item,,,,,,,,,,,,,,,,
VenezianoCharlesQuint,,,,,Estampe,I.B. 27,n° 524-I (380) ou n° 524-II (380),,,,,,https://sammlungenonline.albertina.at/en/objects/394022/,,,,,,,,,,,,,,,,
VenezianoCharlesQuintVieux,,,,,Estampe,I.B. 27,n° 499 (371),Ni sur Albertina ni sur british museum,,,,,,,,,,,,,,,,,,,,,
VenezianoFerdinand,,,,,Estampe,I.B. 27,n° 500 (372),,,,,,,,,,,,,,,,,,,,,,
RaimondiAretin,,,,,Estampe,I.B. 27,n° 513 (374),,,,,,,,,,,,,,,,,,,,,,
RaimondiDouzeCesars,Portraits en médaille des douze Césars,,,,Estampe,I.B. 27,n° 501-I (372) à 512-I (374),,,,,,,,,,,,,,,,,,,,,,
RaimondiHommeDrapeau,L'homme au drapeau,,,,Estampe,I.B. 27,n° 481 (357),,,,,,,,,,,,,,,,,,,,,,
RaimondiHommeBaseColonne,L'homme portant la base d'une colonne,,,,Estampe,I.B. 27,n° 476 (354),,,,,,,,,,,,,,,,,,,,,,
RaimondiAurore,Le Lever de l'Aurore,,,,Estampe,I.B. 26,n° 293 (222),,,,,,,,,,,,,,,,,,,,,,
RaimondiMadeleineMarie,Notre Dame de l'escalier,,,,Estampe,I.B. 26,n° 45 (51),PROBLEME,INCERTAIN,,,,https://sammlungenonline.albertina.at/en/objects/393550,,,,,,,,,,,,,,,,
VenezianoEvangelistesRomano,Quatre évangélistes,,,,Estampe,I.B. 26,n° 92 (83) à n° 95 (83),,,,,,,,,,,,,,,,,,,,,,
TriniteMontsRome,,https://www.wikidata.org/wiki/Q1229008,,,Architecture,,,,,,,,,,,,,,,,,,,,,,,,
RaimondiDavidGoliath,,,,,Estampe,I.B. 26,n° 10-I (12),,,,,,,,,,,,,,,,,,,,,,
VenezianoManne,La Manne,,,,Estampe,I.B. 26,n° 8 (10),,,,,,,,,,,,,,,,,,,,,,
RaimondiReineSaba,La reine de Saba,,,,Estampe,I.B. 26,n° 13 (13),,,,,,,,,,,,,,,,,,,,,,
RaimondiMartyreSaintLaurent,Martyre de Saint Laurent,,,,Estampe,I.B. 26,n° 104 (89),,,,,,,,,,,,,,,,,,,,,,
RaimondiMariesPleurantChristMort,Les Maries pleurant le Christ mort,,,,Estampe,I.B. 26,n° 37 (43),PROBLEME,INCERTAIN,,,,,,,,,,,,,,,,,,,,
DenteCene,Cène,,,,Estampe,I.B. 26,n° 27 (33),,,,,,,,,,,,,,,,,,,,,,
DenteAnnonciation,Annonciation,,,,Estampe,I.B. 26,n° 15 (16),,,,,,,,,,,,,,,,,,,,,,
VenezianoPsyche,Histoire de Psyché (3 planches),,,,Estampe,I.B. 26,n° 236 (190),,,,,,,,,,,,,,,,,,,,,,
RaimondiTroisGraces,Les trois graces,,,,Estampe,I.B. 27,n° 340 (255),,,,,,,,,,,,,,,,,,,,,,
