xml_id,wikidata_qid
Lyon,Q456
Meuse,Q41986
Paris,Q90
Toulouse,Q7880
Fraize,Q957731
Toul,Q154728
Grece,Q41
Platees,Q742538
Sicyone,Q368628
Hongrie,Q28
Come,Q1308
Italie,Q38
Milan,Q490
Modene,Q279
Naples,Q2634
Rome,Q220
Torino,Q495
Malte,Q233
Monaco,Q235
Autriche,Q153136
Amsterdam,Q727
Hollande,Q102911
LaHaye,Q36600
Zelande,Q705
Pologne,Q36
Lisbonne,Q597
Danemark,Q35
Angleterre,Q21
Ecosse,Q22
Francfort,Q1794
Allemagne,Q12548
Brabant,Q159856
Berne,Q70
Rhin,Q584
Suede,Q34
Prague,Q1085
Vatican,Q237
Navarre,Q111628725
Berlin,Q64
Florence,Q2044
Flandres,Q157070
Macedoine,Q83958
Portugal,Q45670
